node,fill,stroke,shape,one,many,attri,compo
has,#dae8fc,#6c8ebf,rhombus,,,,
began_managing,#dae8fc,#6c8ebf,rhombus,,,,
controls,#dae8fc,#6c8ebf,rhombus,,,,
is_assigned,#dae8fc,#6c8ebf,rhombus,,,,
is_working,#dae8fc,#6c8ebf,rhombus,,,,
related_with,#dae8fc,#6c8ebf,rhombus,,,,
has,#dae8fc,#6c8ebf,rhombus,,,,
began_managing,#dae8fc,#6c8ebf,rhombus,,,,
controls,#dae8fc,#6c8ebf,rhombus,,,,
is_assigned,#dae8fc,#6c8ebf,rhombus,,,,
is_working,#dae8fc,#6c8ebf,rhombus,,,,
related_with,#dae8fc,#6c8ebf,rhombus,,,,
employee,#dae8fc,#6c8ebf,rectangle,"has,began_managing,is_assigned,related_with,has,began_managing,is_assigned,related_with","is_working,is_working",,
project,#dae8fc,#6c8ebf,rectangle,,"controls,is_working,controls,is_working",,
department,#dae8fc,#6c8ebf,rectangle,"has,began_managing,has,began_managing","controls,is_assigned,controls,is_assigned",,
dependents,#dae8fc,#6c8ebf,rectangle,,,,
employee,#dae8fc,#6c8ebf,rectangle,"has,began_managing,is_assigned,related_with,has,began_managing,is_assigned,related_with","is_working,is_working",,
project,#dae8fc,#6c8ebf,rectangle,,"controls,is_working,controls,is_working",,
department,#dae8fc,#6c8ebf,rectangle,"has,began_managing,has,began_managing","controls,is_assigned,controls,is_assigned",,
dependents,#dae8fc,#6c8ebf,rectangle,,,,
employee_number,#dae8fc,#6c8ebf,ellipse;whiteSpace=wrap;html=1;align=center;fontStyle=4;,,,employee,
employee_name,#dae8fc,#6c8ebf,ellipse,,,employee,
employee_first_name,#dae8fc,#6c8ebf,ellipse,,,,employee_name
employee_middle_name,#dae8fc,#6c8ebf,ellipse,,,,employee_name
employee_last_name,#dae8fc,#6c8ebf,ellipse,,,,employee_name
employee_salary,#dae8fc,#6c8ebf,ellipse,,,employee,
employee_address,#dae8fc,#6c8ebf,ellipse,,,employee,
employee_gender,#dae8fc,#6c8ebf,ellipse,,,employee,
employee_date_of_birth,#dae8fc,#6c8ebf,ellipse,,,employee,
project_number,#dae8fc,#6c8ebf,ellipse;whiteSpace=wrap;html=1;align=center;fontStyle=4;,,,project,
project_name,#dae8fc,#6c8ebf,ellipse,,,project,
project_location,#dae8fc,#6c8ebf,ellipse,,,project,
department_number,#dae8fc,#6c8ebf,ellipse;whiteSpace=wrap;html=1;align=center;fontStyle=4;,,,department,
department_name,#dae8fc,#6c8ebf,ellipse,,,department,
department_no_of_employees,#dae8fc,#6c8ebf,ellipse;whiteSpace=wrap;html=1;align=center;dashed=1;,,,department,
department_location,#dae8fc,#6c8ebf,doubleEllipse,,,department,
dependents_dependent_number,#dae8fc,#6c8ebf,ellipse;whiteSpace=wrap;html=1;align=center;fontStyle=4;,,,dependents,
dependents_first_name,#dae8fc,#6c8ebf,ellipse,,,dependents,
dependents_gender,#dae8fc,#6c8ebf,ellipse,,,dependents,
dependents_date_of_birth,#dae8fc,#6c8ebf,ellipse,,,dependents,
dependents_relationship,#dae8fc,#6c8ebf,ellipse,,,dependents,
employee_number,#dae8fc,#6c8ebf,ellipse;whiteSpace=wrap;html=1;align=center;fontStyle=4;,,,employee,
employee_name,#dae8fc,#6c8ebf,ellipse,,,employee,
employee_first_name,#dae8fc,#6c8ebf,ellipse,,,,employee_name
employee_middle_name,#dae8fc,#6c8ebf,ellipse,,,,employee_name
employee_last_name,#dae8fc,#6c8ebf,ellipse,,,,employee_name
employee_salary,#dae8fc,#6c8ebf,ellipse,,,employee,
employee_address,#dae8fc,#6c8ebf,ellipse,,,employee,
employee_gender,#dae8fc,#6c8ebf,ellipse,,,employee,
employee_date_of_birth,#dae8fc,#6c8ebf,ellipse,,,employee,
project_number,#dae8fc,#6c8ebf,ellipse;whiteSpace=wrap;html=1;align=center;fontStyle=4;,,,project,
project_name,#dae8fc,#6c8ebf,ellipse,,,project,
project_location,#dae8fc,#6c8ebf,ellipse,,,project,
department_number,#dae8fc,#6c8ebf,ellipse;whiteSpace=wrap;html=1;align=center;fontStyle=4;,,,department,
department_name,#dae8fc,#6c8ebf,ellipse,,,department,
department_no_of_employees,#dae8fc,#6c8ebf,ellipse;whiteSpace=wrap;html=1;align=center;dashed=1;,,,department,
department_location,#dae8fc,#6c8ebf,doubleEllipse,,,department,
dependents_dependent_number,#dae8fc,#6c8ebf,ellipse;whiteSpace=wrap;html=1;align=center;fontStyle=4;,,,dependents,
dependents_first_name,#dae8fc,#6c8ebf,ellipse,,,dependents,
dependents_gender,#dae8fc,#6c8ebf,ellipse,,,dependents,
dependents_date_of_birth,#dae8fc,#6c8ebf,ellipse,,,dependents,
dependents_relationship,#dae8fc,#6c8ebf,ellipse,,,dependents,
